severity	dim	location	title	fix	effort	confidence
4	D8	.github/workflows/ci.yml:9-59	CI 缺容器镜像扫描（Trivy）：deploy 镜像无任何 image scan 阶段	在 backend job 增加 Trivy 步骤（aquasecurity/trivy-action 扫 interview-boss-app:local / nginx 镜像）或 build 前 hadolint+trivy；现有 pip-audit/npm audit 只覆盖语言层依赖	S	certain
3	D8	scripts/line_guard.sh:48,53	line_guard 不扫 backend/tests：test_react_loop.py 3728 行、test_chat.py 2038 行无约束	增加第三个 find 循环扫 backend/tests（上限可放宽至 2000），并拆分两个超大测试文件	S	certain
3	D8	.github/workflows/ci.yml:39	静态检查（ruff/mypy/eslint）在 CI 中 '|| true' 永不阻断（实测 ruff 179 / mypy 436 / eslint 63）	将 ruff/eslint 提为独立 blocking step（先清零存量再收紧）；当前与 CLAUDE.md 审计 WARN 策略一致，随债务清偿逐步收紧	M	certain
3	D8	.githooks/commit-msg	commit-msg hook 无 install.sh，fresh clone 无钩子（round-2 遗留）	新增 .githooks/install.sh 写 core.hooksPath 并接入 README/check.sh	S	certain
2	D8	oauth-gateway/Dockerfile:1	基础镜像 minor-pinned 未 digest-pinned，构建不可完全复现	至少文档化可变 tag 权衡；生产 bar 再 digest-pin	S	certain
1	D8	scripts/check.sh:2	set -uo pipefail 缺 -e	改为 set -euo pipefail（run_blocking 已包 exit code，无现网 bug）	S	certain
2	D15	frontend/src/views/PracticeDecksView.vue:51	删除自定义题单仍用原生 window.confirm（round-2 遗留）	改用 useConfirm()/ConfirmDialog（已有 7+ 组件先例）	S	certain
2	D15	frontend/src/components/SiteHeader.vue:99	全局头删除题单仍用原生 window.confirm，且文案与 PracticeDecksView 漂移	同上，并统一两处删除确认文案	S	certain
2	D16	frontend/src/components/business/PracticeStarChart.vue:47-103	绕过 chartTokens.js 内联 12 个 porcelain hex（round-2 遗留）	改 import { porcelain } from '@/utils/chartTokens.js'	M	certain
2	D16	frontend/src/components/business/PracticeQuadChart.vue:33-84	内联 porcelain hex 7 个 + KnowledgeGraph 另硬编码 11 个	统一走 chartTokens.js（porcelain/porcelainTooltip/RAMP）	M	certain
1	D16	frontend/src/components/business/PracticeRecentTimeline.vue	4 个死组件随 build 发布（PracticeRecentTimeline/PracticeHighFreqChart/ThinkingBlock/ExamDistribution，0 引用）	删除或显式标 deprecated；组件 CLAUDE.md 已注明'保留待用'	S	certain
1	D15	frontend/src/components/business/PracticeMode.vue:141,177,435,462	4 处原生 title 绕过 AppTooltip 约定	改用 AppTooltip 组件（icon 按钮补 aria-label）	S	probable
2	D2	README.md:280	README composables 计数 20 vs 实际 22（根 CLAUDE.md 已正确为 22）	更新为 22 或去掉精确计数	S	certain
2	D2	pyproject.toml:6	requires-python >=3.11 与 Dockerfile/README/CLAUDE 的 3.12 不一致	统一为 >=3.12 或修正文档	S	certain
3	D13	backend/.env.example	README 环境变量表 7 个变量在 .env.example 中无占位行（SEARCH_*/SILICONFLOW_API_KEY/EMBEDDING_API_MODEL/CLUSTER_MIN_SIMILARITY/REDIS_URL/REDIS_PASSWORD_FILE）	补注释占位行，使模板可填写	S	certain
