severity	dim	location	title	fix	effort	confidence
4	D14	backend/app/routers/bank_build.py:277	POST /api/master-bank/build-personal 调用未导入的 match_new_questions（定义于 app/services/clustering/matcher.py:694），个人题目与公共题库均非空时必 NameError	在 bank_build.py 顶部 from app.services.clustering.matcher import match_new_questions	S	certain
4	D8	scripts/check.sh:153-154,190	check.sh 调用未定义的 run_static_backend/run_static_frontend，ruff/mypy/eslint 从未被门禁执行（all 分支末尾重复调用 run_static_backend）	定义两个函数分别跑 ruff check backend/app、mypy backend/app 与 eslint src；删除 all 分支末尾的重复调用	S	certain
3	D4	backend/app/routers/auth.py:228-233,240-244	refresh_token cookie 的 secure 标志信任客户端可伪造的 x-forwarded-proto；公网 nginx 纯 http 时 cookie 明文发送	后端无条件 Secure（公网强制 HTTPS），或仅信任可信代理覆写的 X-Forwarded-Proto	M	needs-verification
3	D4	backend/requirements（pip-audit 容器化后首次可见）	pip-audit 报 14 条 PYSEC 漏洞：aiohttp 3.14.1、click 8.3.2、cryptography 49.0.0、ecdsa 0.19.2、mcp 1.12.4、pyasn1 0.6.3，均有可用升级版本	uv add 升级上述依赖并重跑 full tests；mcp 升级注意 MCP server 兼容性	M	certain
3	D4	frontend/package-lock.json	npm audit --omit=dev 报 16 个生产依赖漏洞（9 high）：postcss 任意文件读取、undici 多个 high（经 shadcn-vue 传递），均有可用修复	升级 postcss/undici 及传递依赖，npm audit fix 后重跑 build+smoke	M	certain
3	D4	git 历史 529f232..78c77d0	SiliconFlow/MiMo 真实 key 字面量已从工作树移除，但 git 历史仍含，需服务商侧轮换	在服务商控制台轮换 tp-ck- / sk- 开头的历史 key	S	certain
3	D8	frontend/eslint.config.js	eslint 未配置 TS parser，101 个 lang="ts" 的 Vue 组件产生 100 个 parsing error，前端 lint 对 TS 组件空转	安装 @typescript-eslint/parser + typescript，在 flat config 中接入 parser 与 parserOptions	M	certain
2	D14	backend/app/routers/auth.py:62-85	login _record_failure SELECT-then-INSERT 竞态：b7fdf7a 已改 atomic upsert，需复查并发双失败路径	INSERT OR IGNORE / ON CONFLICT DO UPDATE 自增	S	needs-verification
2	D14	backend/app/routers/data.py:925-937	update_generic_data 对 interview UPDATE+COMMIT 后才在事务外提交 reprocess 任务，任务失败则派生状态陈旧	重处理任务必达 + 失败告警/重试，或提交前校验前置条件	M	certain
2	D3	backend/tests/coding/test_coding.py	coding 关键路径测试薄：无越权操作他人题/超长代码/恶意 markdown 边界；auth_client fixture 每文件重复	补 coding 越权/超长/恶意输入用例；auth_client 收敛进共享 conftest.py	S	certain
2	D3	backend/tests/security/	对抗性 fuzz corpus 缺失：无 SQL 注入语料、Unicode 代理对/零宽/换行边界、无 1MB 超长输入、无 hypothesis 属性化	为 auth/login/submit/master-bank 补注入语料 + Unicode 边界 + 1MB 输入用例	M	certain
2	D4	backend/app/db/operations.py + routers/profile_pkg/llm.py	用户自带 LLM/搜索 API key 明文落库无加密	Fernet 加密 api_key 字段（env 派生密钥），读取时解密	M	certain
2	D6	backend/app/worker.py WorkerSettings.cron_jobs + do_status	6 个 ARQ cron 无 LastRunAt/失败可见性，worker 按需关闭时静默缺跑	DB 记录每 cron last_run_at/status + worker 心跳 + admin 只读端点	M	probable
2	D6	docker-compose.yml nginx / oauth-gateway 段	nginx（公网入口 facade）与 oauth-gateway（认证网关）无 healthcheck，backend/redis/worker 均有	nginx 加 /health 探测、oauth-gateway 加 /health 探测	M	certain
